parent_region;region;u_name;popularity;cost_per_week;jan;feb;mar;apr;may;jun;jul;aug;sep;oct;nov;dec;safety;nature;hiking;beach;watersports;entertainment;wintersports;culture;culinary;architecture;shopping;description
;World;;;400.0;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;o;
World;Europe;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Middle America and Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;South America;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;
World;Oceania;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;Canada;;;725.0;;;;;;;;;;;;;+;;;;;;;;;;;
Canada;Canada North;CND_NO;--;725.0;--;--;--;--;o;+;++;++;+;o;--;--;+;o;o;--;--;--;o;--;--;--;--;Canada North features the rugged wilderness of the Northwest Territories and Nunavut.
Canada;Canada British Columbia;CND_BC;++;725.0;--;--;--;-;o;+;++;++;+;o;--;--;+;++;++;-;o;+;++;o;+;+;+;Canada British Columbia is defined by its dramatic Pacific coastline and the soaring Rocky Mountains. It boasts spectacular rainforests in the Great Bear Rainforest and alpine scenery in Whistler. The West Coast Trail offers a legendary hiking challenge, while the Chief in Squamish provides stunning views. Whistler Blackcomb is a premier destination for world-class skiing and snowboarding.
Canada;Canada Prairies;CND_PR;-;725.0;--;--;--;-;o;+;++;++;+;o;--;--;+;++;++;-;-;--;++;-;-;-;-;Canada Prairies offers vast, living skies and rich agricultural landscapes. Banff and Jasper National Parks on the western edge provide breathtaking mountain vistas and turquoise lakes like Lake Louise. Trails in the Badlands of Dinosaur Provincial Park offer unique geological explorations.
Canada;Canada Ontario;CND_ON;+;725.0;--;--;-;o;+;++;++;++;++;+;-;--;+;++;++;--;-;+;-;o;-;o;o;Canada Ontario blends bustling city life with abundant natural waters. The majestic Niagara Falls and the serene islands of Georgian Bay are must-see natural wonders. The Bruce Trail offers extensive hiking along the Niagara Escarpment.
Canada;Canada Quebec;CND_QU;+;725.0;--;--;-;o;+;++;++;++;++;+;-;--;+;+;+;--;-;+;+;+;-;+;+;Canada Quebec is the heart of French Canada, known for its European charm and vast forests. The Laurentian Mountains offer beautiful fall foliage and year-round outdoor activities. Old Quebec City, a UNESCO World Heritage site, features historic fortifications and cobblestone streets. Mont-Tremblant provides excellent skiing and a picturesque winter village atmosphere.
Canada;Canada Atlantic Provinces;CND_AT;+;725.0;--;--;-;o;+;++;++;++;++;+;-;--;+;++;o;-;+;o;o;o;+;-;o;Canada Atlantic Provinces is characterized by rugged coastlines and maritime history. Gros Morne National Park offers dramatic fjords and tablelands. The Bay of Fundy showcases the world's highest tides.
North America;Greenland;GRL;-;975.0;--;--;-;o;+;++;++;++;++;+;-;--;++;+;+;--;o;--;o;-;--;--;--;Greenland offers a unique travel experience. Nature enthusiasts will appreciate the beautiful landscapes and natural scenery. Scenic trails offer great opportunities for hiking and exploration.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
North America;USA;;;600.0;;;;;;;;;;;;;+;;;;;;;;;;;
USA;USA Alaska;USA_AL;o;975.0;--;--;--;--;o;+;++;++;+;o;--;--;+;++;+;--;-;-;o;-;o;--;--;USA Alaska is the ultimate frontier, offering immense glaciers and wildlife. Denali National Park is home to North America's highest peak and grizzly bears. Kenai Fjords National Park offers stunning glacial views. Trails like the Harding Icefield Trail provide challenging but rewarding treks.
USA;USA Pacific Northwest;USA_PN;+;600.0;-;-;-;o;+;++;++;++;++;+;o;-;+;++;+;o;-;o;+;o;o;+;o;USA Pacific Northwest is known for its lush evergreen forests and rugged coastline. Olympic National Park features temperate rainforests and sea stacks. Mount Rainier stands as an iconic glacial peak.
USA;USA California;USA_CA;++;600.0;o;o;+;++;++;+;+;+;++;++;+;o;o;+;+;++;+;++;-;+;o;++;++;USA California offers a diverse landscape from sun-soaked beaches to granite peaks. Yosemite National Park displays massive granite cliffs like El Capitan. The towering Redwoods stand as ancient giants along the coast. Beaches like Santa Monica and Malibu are world-famous for sun and surf. Hollywood and Disneyland provide iconic entertainment experiences.
USA;USA Southwest;USA_SW;++;600.0;o;o;+;++;++;+;o;o;++;++;+;o;+;++;+;--;-;-;--;-;-;-;--;USA Southwest is a land of red rocks and desert grandeur. The Grand Canyon offers awe-inspiring vistas. Zion and Bryce Canyon National Parks feature stunning sandstone formations. The Narrows in Zion offer a unique river hiking experience.
USA;USA Rocky Mountains;USA_RM;+;600.0;-;-;-;o;+;++;++;++;++;+;o;-;+;+;++;--;--;-;++;-;-;-;--;USA Rocky Mountains is a paradise for mountain enthusiasts. Rocky Mountain National Park features high-altitude lakes and peaks. Yellowstone dazzles with geothermal geysers and wildlife like bison. Vail and Aspen are world-renowned for luxury skiing.
USA;USA Great Plains;USA_GP;o;600.0;--;-;-;o;+;++;+;+;++;+;-;--;+;o;--;--;--;--;--;-;-;--;--;USA Great Plains offers a unique travel experience.
